biosample_id,run_accession,fastq_file,download_url
SAMN28173806,SRR20082805,SRR20082805_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/005/SRR20082805/SRR20082805_1.fastq.gz
SAMN28173806,SRR20082813,SRR20082813_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/013/SRR20082813/SRR20082813_1.fastq.gz
SAMN28173806,SRR20082813,SRR20082813_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/013/SRR20082813/SRR20082813_2.fastq.gz
SAMEA115401573,ERR12742692,ERR12742692.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/092/ERR12742692/ERR12742692.fastq.gz
SAMEA115401573,ERR12743227,ERR12743227.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/027/ERR12743227/ERR12743227.fastq.gz
SAMN24042982,SRR17234896,SRR17234896_subreads.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR172/096/SRR17234896/SRR17234896_subreads.fastq.gz
SAMN24042982,SRR17234902,SRR17234902_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR172/002/SRR17234902/SRR17234902_1.fastq.gz
SAMN24042982,SRR17234902,SRR17234902_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR172/002/SRR17234902/SRR17234902_2.fastq.gz
SAMN13736268,SRR10828834,SRR10828834_subreads.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/034/SRR10828834/SRR10828834_subreads.fastq.gz
SAMN13736268,SRR10828835,SRR10828835_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/035/SRR10828835/SRR10828835_1.fastq.gz
SAMN13736268,SRR10828835,SRR10828835_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/035/SRR10828835/SRR10828835_2.fastq.gz
SAMN16406474,SRR12801734,SRR12801734_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR128/034/SRR12801734/SRR12801734_1.fastq.gz
SAMD00269950,DRR261094,DRR261094_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/DRR261/DRR261094/DRR261094_1.fastq.gz
SAMD00269950,DRR261094,DRR261094_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/DRR261/DRR261094/DRR261094_2.fastq.gz
SAMD00269950,DRR261202,DRR261202_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/DRR261/DRR261202/DRR261202_1.fastq.gz
SAMN12126281,SRR9588640,SRR9588640_subreads.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR958/000/SRR9588640/SRR9588640_subreads.fastq.gz
SAMD00322307,DRR290121,DRR290121_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/DRR290/DRR290121/DRR290121_1.fastq.gz
SAMD00322307,DRR290121,DRR290121_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/DRR290/DRR290121/DRR290121_2.fastq.gz
SAMD00322307,DRR290122,DRR290122_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/DRR290/DRR290122/DRR290122_1.fastq.gz
SAMD00269953,DRR261143,DRR261143_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/DRR261/DRR261143/DRR261143_1.fastq.gz
SAMD00269953,DRR261143,DRR261143_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/DRR261/DRR261143/DRR261143_2.fastq.gz
SAMD00269953,DRR261205,DRR261205_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/DRR261/DRR261205/DRR261205_1.fastq.gz
SAMN24039564,SRR17234890,SRR17234890_subreads.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR172/090/SRR17234890/SRR17234890_subreads.fastq.gz
SAMN24039564,SRR17234906,SRR17234906_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR172/006/SRR17234906/SRR17234906_1.fastq.gz
SAMN24039564,SRR17234906,SRR17234906_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR172/006/SRR17234906/SRR17234906_2.fastq.gz
SAMN10417149,SRR8186770,SRR8186770_subreads.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR818/000/SRR8186770/SRR8186770_subreads.fastq.gz
SAMN10417149,SRR8186769,SRR8186769_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR818/009/SRR8186769/SRR8186769_1.fastq.gz
SAMN10417149,SRR8186769,SRR8186769_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR818/009/SRR8186769/SRR8186769_2.fastq.gz
SAMN10417149,SRR8186771,SRR8186771_subreads.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR818/001/SRR8186771/SRR8186771_subreads.fastq.gz
SAMN10417149,SRR8186768,SRR8186768_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR818/008/SRR8186768/SRR8186768_1.fastq.gz
SAMN10417149,SRR8186768,SRR8186768_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR818/008/SRR8186768/SRR8186768_2.fastq.gz
SAMN10417149,SRR8186772,SRR8186772_subreads.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR818/002/SRR8186772/SRR8186772_subreads.fastq.gz
SAMN16564840,SRR16643349,SRR16643349_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR166/049/SRR16643349/SRR16643349_1.fastq.gz
SAMN16564840,SRR16643349,SRR16643349_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR166/049/SRR16643349/SRR16643349_2.fastq.gz
SAMN16564840,SRR12916665,SRR12916665_subreads.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/065/SRR12916665/SRR12916665_subreads.fastq.gz
